-0.0020,1.3786,-1.4390,0.7623,-1.0827
0.7196,0.3687,-0.7019,1.1568,0.5004
0.1243,0.6222,0.3371,0.0759,1.0670
-0.6896,0.3953,0.4347,0.9969,0.2056
-0.0429,-0.3084,0.7899,-0.4652,0.9685
0.1359,-0.2221,-0.4255,0.1759,-0.9280
0.7222,0.2577,-0.5453,0.8850,-1.4737
-0.7580,-0.0193,-0.6717,-1.0074,-0.6573
-0.5467,0.5684,-0.4047,0.4576,0.4963
-0.5181,1.3282,-0.0254,0.5648,-0.3766
0.1334,0.9820,-1.2122,-0.5600,0.9986
-0.9992,-0.0005,-1.4930,0.4434,0.4605
1.8495,-0.8184,1.4836,0.2804,-0.1350
-0.2037,0.7164,-0.9179,1.5632,1.2538
0.0420,-0.3926,-0.1220,0.8920,-0.7675
-0.7256,0.3666,-0.5804,0.8113,0.8588
0.3059,-0.3666,0.1670,0.8608,-0.4982
0.4223,0.4984,-0.7956,0.8439,-0.1151
-1.3229,1.0683,-0.5668,0.2532,-0.4879
-0.4812,1.4182,0.1887,0.6151,-1.4586
-1.2382,0.0873,-0.6066,1.1149,0.7163
0.0355,-0.4735,-0.6853,1.5914,-1.0003
-0.0764,-0.7621,-1.3474,1.0159,-0.1114
1.4733,-0.9985,1.1218,1.6587,1.3769
-1.1781,0.8969,1.8490,1.4533,0.4678
0.0654,0.4115,0.0409,0.4086,-0.2365
-0.2841,-1.0269,-0.1667,-1.0775,-0.8619
-0.6148,-0.3098,-1.2240,0.4195,-1.7365
-0.0329,-0.2711,0.0620,0.0498,-0.2673
0.4747,0.7773,-0.2710,-0.6078,0.0616
0.0022,1.3621,-0.3571,-0.5134,0.6714
-0.0156,-0.3346,-0.2120,0.1706,1.6185
0.2324,-0.5620,2.0746,-0.0127,1.1798
-0.4655,-0.6902,0.0471,1.0565,0.8104
0.9913,-0.7431,0.3586,-0.5799,0.9615
0.2766,-0.6974,-0.6194,1.1161,-0.9420
-0.5493,0.6871,-0.9283,-0.3900,0.0776
1.0089,1.8276,0.7014,-0.7645,0.0283
-0.6196,-0.3737,-0.5926,-0.4344,0.2195
1.1626,-0.5590,0.9835,0.1163,1.1441
-1.0306,0.3104,-0.1387,0.8670,-0.5839
-1.4137,-0.6148,-0.5326,0.0345,-1.1228
-0.6530,0.4242,-0.6428,-0.9238,-0.4590
0.3185,-1.2871,-0.7411,-0.8823,-1.3984
